model,model_aux,type1,type2,,,,,,,,,,,,,,,,,,,,,,
SB99,SB99 SB100 SB500,爪,爪 7.8mm（0.38一般料）,,,,,,,,,,,,,,,,,,,,,,
SB99,SB99 SB100 SB500,爪,寬爪 8.7mm（0.38一般料）,,,,,,,,,,,,,,,,,,,,,,
SB99,SB99 SB100 SB500,爪,薄料爪 7.8mm（0.30薄料）,,,,,,,,,,,,,,,,,,,,,,
SB99,SB99 SB100 SB500,母,母,,,,,,,,,,,,,,,,,,,,,,
SB99,SB99 SB100 SB500,公,公,,,,,,,,,,,,,,,,,,,,,,
SB99,SB99 SB100 SB500,公,公 FOUR,,,,,,,,,,,,,,,,,,,,,,
SB100,SB99 SB100 SB500,爪,100面爪,,,,,,,,,,,,,,,,,,,,,,
SB500,SB99 SB100 SB500,爪,500珠光框,,,,,,,,,,,,,,,,,,,,,,
SB101,SB101 SB102 SB501,爪,五爪,,,,,,,,,,,,,,,,,,,,,,
SB101,SB101 SB102 SB501,爪,六爪,,,,,,,,,,,,,,,,,,,,,,
SB101,SB101 SB102 SB501,母,母,,,,,,,,,,,,,,,,,,,,,,
SB101,SB101 SB102 SB501,公,公,,,,,,,,,,,,,,,,,,,,,,
SB101,SB101 SB102 SB501,爪,薄料五爪,,,,,,,,,,,,,,,,,,,,,,
SB101,SB101 SB102 SB501,爪,薄料六爪,,,,,,,,,,,,,,,,,,,,,,
SB101,SB101 SB102 SB501,母,薄料母,,,,,,,,,,,,,,,,,,,,,,
SB101,SB101 SB102 SB501,公,薄料公,,,,,,,,,,,,,,,,,,,,,,
SB101,SB101 SB102 SB501,公,日式公,,,,,,,,,,,,,,,,,,,,,,
SB101,SB101 SB102 SB501,公,公FOUR,,,,,,,,,,,,,,,,,,,,,,
SB101,SB101 SB102 SB501,公,公KEN-MA,,,,,,,,,,,,,,,,,,,,,,
SB101,SB101 SB102 SB501,公,公LASTIMODA,,,,,,,,,,,,,,,,,,,,,,
SB101,SB101 SB102 SB501,公,公STAG,,,,,,,,,,,,,,,,,,,,,,
SB102,SB101 SB102 SB501,爪,102面爪,,,,,,,,,,,,,,,,,,,,,,
SB102,SB101 SB102 SB501,爪,102面爪 中凸面,,,,,,,,,,,,,,,,,,,,,,
SB102,SB101 SB102 SB501,爪,102面爪 星孔,,,,,,,,,,,,,,,,,,,,,,
SB501,SB101 SB102 SB501,爪,501珠光框,,,,,,,,,,,,,,,,,,,,,,
SB103,SB103 SB104 SB105 SB502,爪,爪 10.2mm,,,,,,,,,,,,,,,,,,,,,,
SB103,SB103 SB104 SB105 SB502,爪,寬爪 11mm,,,,,,,,,,,,,,,,,,,,,,
SB103,SB103 SB104 SB105 SB502,母,母 11mm,,,,,,,,,,,,,,,,,,,,,,
SB103,SB103 SB104 SB105 SB502,公,公 11mm,,,,,,,,,,,,,,,,,,,,,,
SB103,SB103 SB104 SB105 SB502,母,母 11.7mm,,,,,,,,,,,,,,,,,,,,,,
SB103,SB103 SB104 SB105 SB502,公,公 11.7mm,,,,,,,,,,,,,,,,,,,,,,
